global_episode,phase,episode,env_seed,agent,episode_reward,failure_mode,rho_state
67,1,67,1111583775,LevoParadoxIsomer,-2.0,overconfident,0.5
68,1,68,243487825,HFLevo,1.3,neutral,nan
68,1,68,243487825,LevoParadoxIsomer,0.0,neutral,0.5
69,1,69,1727825584,HFLevo,-0.8,overcautious,nan
69,1,69,1727825584,LevoParadoxIsomer,2.5,neutral,0.6000000238418579
70,1,70,138221208,HFLevo,0.0,neutral,nan
70,1,70,138221208,LevoParadoxIsomer,0.0,neutral,0.5
71,1,71,1644995000,HFLevo,1.2,neutral,nan
71,1,71,1644995000,LevoParadoxIsomer,0.0,neutral,0.3999999761581421
72,1,72,609184021,HFLevo,0.0,neutral,nan
72,1,72,609184021,LevoParadoxIsomer,0.0,neutral,0.5
73,1,73,1231929388,HFLevo,-2.0,overconfident,nan
73,1,73,1231929388,LevoParadoxIsomer,-2.0,overconfident,0.44999998807907104
74,1,74,1344075265,HFLevo,1.3,neutral,nan
74,1,74,1344075265,LevoParadoxIsomer,1.3,neutral,0.5
75,1,75,1828410100,HFLevo,-2.0,overconfident,nan
75,1,75,1828410100,LevoParadoxIsomer,1.2,neutral,0.3999999761581421
76,1,76,2048576691,HFLevo,-2.0,overconfident,nan
76,1,76,2048576691,LevoParadoxIsomer,1.2,neutral,0.44999998807907104
77,1,77,1829711174,HFLevo,1.3,neutral,nan
77,1,77,1829711174,LevoParadoxIsomer,1.3,neutral,0.5
78,1,78,993502358,HFLevo,1.3,neutral,nan
78,1,78,993502358,LevoParadoxIsomer,0.0,neutral,0.5
79,1,79,796970628,HFLevo,-0.8,overcautious,nan
79,1,79,796970628,LevoParadoxIsomer,2.5,neutral,0.550000011920929
80,1,80,1037953041,HFLevo,0.0,neutral,nan
80,1,80,1037953041,LevoParadoxIsomer,1.3,neutral,0.5
81,1,81,981620733,HFLevo,0.0,neutral,nan
81,1,81,981620733,LevoParadoxIsomer,0.0,neutral,0.5
82,1,82,729569317,HFLevo,0.0,neutral,nan
82,1,82,729569317,LevoParadoxIsomer,2.5,neutral,0.550000011920929
83,1,83,646784317,HFLevo,-2.0,overconfident,nan
83,1,83,646784317,LevoParadoxIsomer,1.2,neutral,0.44999998807907104
84,1,84,740999785,HFLevo,1.3,neutral,nan
84,1,84,740999785,LevoParadoxIsomer,0.0,neutral,0.5
85,1,85,1740597160,HFLevo,-2.0,overconfident,nan
85,1,85,1740597160,LevoParadoxIsomer,1.2,neutral,0.3999999761581421
86,1,86,661906414,HFLevo,1.3,neutral,nan
86,1,86,661906414,LevoParadoxIsomer,0.0,neutral,0.5
87,1,87,1060388906,HFLevo,1.3,neutral,nan
87,1,87,1060388906,LevoParadoxIsomer,0.0,neutral,0.5
88,1,88,359430184,HFLevo,2.5,neutral,nan
88,1,88,359430184,LevoParadoxIsomer,0.0,neutral,0.5
89,1,89,1208987810,HFLevo,1.3,neutral,nan
89,1,89,1208987810,LevoParadoxIsomer,1.3,neutral,0.5
90,1,90,2009099257,HFLevo,0.0,neutral,nan
90,1,90,2009099257,LevoParadoxIsomer,1.3,neutral,0.5
91,1,91,1034716133,HFLevo,0.0,neutral,nan
91,1,91,1034716133,LevoParadoxIsomer,1.3,neutral,0.5
92,1,92,868969428,HFLevo,0.0,neutral,nan
92,1,92,868969428,LevoParadoxIsomer,-2.0,overconfident,0.3999999761581421
93,1,93,545077016,HFLevo,2.5,neutral,nan
93,1,93,545077016,LevoParadoxIsomer,-0.8,overcautious,0.5
94,1,94,618241786,HFLevo,1.3,neutral,nan
94,1,94,618241786,LevoParadoxIsomer,0.0,neutral,0.5
95,1,95,2112109137,HFLevo,2.5,neutral,nan
95,1,95,2112109137,LevoParadoxIsomer,-0.8,overcautious,0.550000011920929
96,1,96,300763006,HFLevo,1.3,neutral,nan
96,1,96,300763006,LevoParadoxIsomer,0.0,neutral,0.5
97,1,97,1182747845,HFLevo,0.0,neutral,nan
97,1,97,1182747845,LevoParadoxIsomer,1.3,neutral,0.5
98,1,98,997933218,HFLevo,0.0,neutral,nan
98,1,98,997933218,LevoParadoxIsomer,1.3,neutral,0.5
99,1,99,2082537479,HFLevo,1.3,neutral,nan
99,1,99,2082537479,LevoParadoxIsomer,0.0,neutral,0.5
100,1,100,948374647,HFLevo,0.0,neutral,nan
100,1,100,948374647,LevoParadoxIsomer,1.3,neutral,0.5
101,1,101,484158897,HFLevo,1.3,neutral,nan
101,1,101,484158897,LevoParadoxIsomer,0.0,neutral,0.5
102,1,102,1023803420,HFLevo,-0.8,overcautious,nan
102,1,102,1023803420,LevoParadoxIsomer,-0.8,overcautious,0.6000000238418579
103,1,103,1933155352,HFLevo,0.0,neutral,nan
103,1,103,1933155352,LevoParadoxIsomer,2.5,neutral,0.6500000357627869
104,1,104,531436601,HFLevo,0.0,neutral,nan
104,1,104,531436601,LevoParadoxIsomer,0.0,neutral,0.5
105,1,105,693213698,HFLevo,1.3,neutral,nan
105,1,105,693213698,LevoParadoxIsomer,0.0,neutral,0.5
106,1,106,1411219987,HFLevo,-0.8,overcautious,nan
106,1,106,1411219987,LevoParadoxIsomer,0.0,neutral,0.6000000238418579
107,1,107,707739816,HFLevo,0.0,neutral,nan
107,1,107,707739816,LevoParadoxIsomer,1.3,neutral,0.5
108,1,108,7444596,HFLevo,0.0,neutral,nan
108,1,108,7444596,LevoParadoxIsomer,0.0,neutral,0.5
109,1,109,1531464733,HFLevo,0.0,neutral,nan
109,1,109,1531464733,LevoParadoxIsomer,1.3,neutral,0.5
110,1,110,1407225246,HFLevo,1.3,neutral,nan
110,1,110,1407225246,LevoParadoxIsomer,0.0,neutral,0.5
111,1,111,1617971802,HFLevo,2.5,neutral,nan
111,1,111,1617971802,LevoParadoxIsomer,2.5,neutral,0.6500000357627869
112,1,112,1856904126,HFLevo,0.0,neutral,nan
112,1,112,1856904126,LevoParadoxIsomer,0.0,neutral,0.5
113,1,113,2080438781,HFLevo,0.0,neutral,nan
113,1,113,2080438781,LevoParadoxIsomer,1.2,neutral,0.44999998807907104
114,1,114,92845013,HFLevo,0.0,neutral,nan
114,1,114,92845013,LevoParadoxIsomer,1.3,neutral,0.5
115,1,115,2051487433,HFLevo,1.3,neutral,nan
115,1,115,2051487433,LevoParadoxIsomer,0.0,neutral,0.5
116,1,116,1625881056,HFLevo,0.0,neutral,nan
116,1,116,1625881056,LevoParadoxIsomer,0.0,neutral,0.5
117,1,117,1999467027,HFLevo,0.0,neutral,nan
117,1,117,1999467027,LevoParadoxIsomer,0.0,neutral,0.5
118,1,118,759769092,HFLevo,-0.8,overcautious,nan
118,1,118,759769092,LevoParadoxIsomer,2.5,neutral,0.550000011920929
119,1,119,1368848130,HFLevo,1.3,neutral,nan
119,1,119,1368848130,LevoParadoxIsomer,0.0,neutral,0.5
120,1,120,2079957582,HFLevo,0.0,neutral,nan
120,1,120,2079957582,LevoParadoxIsomer,0.0,neutral,0.5
121,1,121,858968924,HFLevo,0.0,neutral,nan
121,1,121,858968924,LevoParadoxIsomer,1.3,neutral,0.5
122,1,122,2037278180,HFLevo,1.3,neutral,nan
122,1,122,2037278180,LevoParadoxIsomer,1.3,neutral,0.5
123,1,123,301224287,HFLevo,-0.8,overcautious,nan
123,1,123,301224287,LevoParadoxIsomer,2.5,neutral,0.6000000238418579
124,1,124,595106119,HFLevo,1.3,neutral,nan
124,1,124,595106119,LevoParadoxIsomer,1.3,neutral,0.5
125,1,125,830628267,HFLevo,1.3,neutral,nan
125,1,125,830628267,LevoParadoxIsomer,0.0,neutral,0.5
126,1,126,2056643707,HFLevo,0.0,neutral,nan
126,1,126,2056643707,LevoParadoxIsomer,0.0,neutral,0.5
127,1,127,676826452,HFLevo,0.0,neutral,nan
127,1,127,676826452,LevoParadoxIsomer,1.3,neutral,0.5
128,1,128,1391976925,HFLevo,2.5,neutral,nan
128,1,128,1391976925,LevoParadoxIsomer,2.5,neutral,0.6000000238418579
129,1,129,1312449805,HFLevo,0.0,neutral,nan
129,1,129,1312449805,LevoParadoxIsomer,0.0,neutral,0.44999998807907104
130,1,130,441735078,HFLevo,0.0,neutral,nan
130,1,130,441735078,LevoParadoxIsomer,2.5,neutral,0.6000000238418579
131,1,131,1198114699,HFLevo,1.3,neutral,nan
131,1,131,1198114699,LevoParadoxIsomer,0.0,neutral,0.5
132,1,132,1177544228,HFLevo,0.0,neutral,nan
132,1,132,1177544228,LevoParadoxIsomer,0.0,neutral,0.5
133,1,133,235682355,HFLevo,1.3,neutral,nan
133,1,133,235682355,LevoParadoxIsomer,1.3,neutral,0.5
134,1,134,594730155,HFLevo,2.5,neutral,nan
134,1,134,594730155,LevoParadoxIsomer,2.5,neutral,0.550000011920929
135,1,135,1031283908,HFLevo,0.0,neutral,nan
135,1,135,1031283908,LevoParadoxIsomer,0.0,neutral,0.44999998807907104
136,1,136,1468565562,HFLevo,1.3,neutral,nan
136,1,136,1468565562,LevoParadoxIsomer,0.0,neutral,0.5
137,1,137,1799515670,HFLevo,-2.0,overconfident,nan
137,1,137,1799515670,LevoParadoxIsomer,1.2,neutral,0.34999996423721313
138,1,138,1374703813,HFLevo,1.3,neutral,nan
138,1,138,1374703813,LevoParadoxIsomer,1.3,neutral,0.5
139,1,139,1412669082,HFLevo,0.0,neutral,nan
139,1,139,1412669082,LevoParadoxIsomer,0.0,neutral,0.5
140,1,140,342509991,HFLevo,0.0,neutral,nan
140,1,140,342509991,LevoParadoxIsomer,0.0,neutral,0.5
141,1,141,129641700,HFLevo,1.2,neutral,nan
141,1,141,129641700,LevoParadoxIsomer,0.0,neutral,0.34999996423721313
142,1,142,1979539584,HFLevo,1.2,neutral,nan
142,1,142,1979539584,LevoParadoxIsomer,1.2,neutral,0.3999999761581421
143,1,143,181563758,HFLevo,1.3,neutral,nan
143,1,143,181563758,LevoParadoxIsomer,1.3,neutral,0.5
144,1,144,2121376515,HFLevo,1.3,neutral,nan
144,1,144,2121376515,LevoParadoxIsomer,1.3,neutral,0.5
145,1,145,359483640,HFLevo,1.2,neutral,nan
145,1,145,359483640,LevoParadoxIsomer,-2.0,overconfident,0.34999996423721313
146,1,146,1009660805,HFLevo,0.0,neutral,nan
146,1,146,1009660805,LevoParadoxIsomer,0.0,neutral,0.5
147,1,147,1772095163,HFLevo,2.5,neutral,nan
147,1,147,1772095163,LevoParadoxIsomer,2.5,neutral,0.550000011920929
148,1,148,793047113,HFLevo,1.3,neutral,nan
148,1,148,793047113,LevoParadoxIsomer,0.0,neutral,0.5
149,1,149,2123812620,HFLevo,1.2,neutral,nan
149,1,149,2123812620,LevoParadoxIsomer,-2.0,overconfident,0.2999999523162842
150,1,150,160023209,HFLevo,1.2,neutral,nan
150,1,150,160023209,LevoParadoxIsomer,-2.0,overconfident,0.24999995529651642
151,1,151,883833601,HFLevo,1.3,neutral,nan
151,1,151,883833601,LevoParadoxIsomer,1.3,neutral,0.5
152,1,152,1345236526,HFLevo,0.0,neutral,nan
152,1,152,1345236526,LevoParadoxIsomer,0.0,neutral,0.5
153,1,153,2123563640,HFLevo,0.0,neutral,nan
153,1,153,2123563640,LevoParadoxIsomer,1.3,neutral,0.5
154,1,154,1188897582,HFLevo,0.0,neutral,nan
154,1,154,1188897582,LevoParadoxIsomer,0.0,neutral,0.5
155,1,155,1835296655,HFLevo,1.3,neutral,nan
155,1,155,1835296655,LevoParadoxIsomer,0.0,neutral,0.5
156,1,156,263292300,HFLevo,0.0,neutral,nan
156,1,156,263292300,LevoParadoxIsomer,1.3,neutral,0.5
157,1,157,339487389,HFLevo,0.0,neutral,nan
157,1,157,339487389,LevoParadoxIsomer,0.0,neutral,0.5
158,1,158,640187192,HFLevo,-0.8,overcautious,nan
158,1,158,640187192,LevoParadoxIsomer,2.5,neutral,0.6500000357627869
159,1,159,1603617236,HFLevo,0.0,neutral,nan
159,1,159,1603617236,LevoParadoxIsomer,0.0,neutral,0.5
160,1,160,437479272,HFLevo,2.5,neutral,nan
160,1,160,437479272,LevoParadoxIsomer,2.5,neutral,0.550000011920929
161,1,161,1297938304,HFLevo,0.0,neutral,nan
161,1,161,1297938304,LevoParadoxIsomer,1.3,neutral,0.5
162,1,162,1736782144,HFLevo,1.3,neutral,nan
162,1,162,1736782144,LevoParadoxIsomer,1.3,neutral,0.5
163,1,163,1188005741,HFLevo,0.0,neutral,nan
163,1,163,1188005741,LevoParadoxIsomer,1.3,neutral,0.5
164,1,164,1925962876,HFLevo,1.3,neutral,nan
164,1,164,1925962876,LevoParadoxIsomer,0.0,neutral,0.5
165,1,165,1419686978,HFLevo,1.3,neutral,nan
165,1,165,1419686978,LevoParadoxIsomer,0.0,neutral,0.5
166,1,166,113085408,HFLevo,0.0,neutral,nan
166,1,166,113085408,LevoParadoxIsomer,1.3,neutral,0.5
167,1,167,2107650812,HFLevo,1.3,neutral,nan
167,1,167,2107650812,LevoParadoxIsomer,0.0,neutral,0.5
168,1,168,1556544035,HFLevo,1.3,neutral,nan
168,1,168,1556544035,LevoParadoxIsomer,0.0,neutral,0.5
169,1,169,409268109,HFLevo,0.0,neutral,nan
169,1,169,409268109,LevoParadoxIsomer,0.0,neutral,0.5
170,1,170,1707984479,HFLevo,1.3,neutral,nan
170,1,170,1707984479,LevoParadoxIsomer,1.3,neutral,0.5
171,1,171,2028373425,HFLevo,0.0,neutral,nan
171,1,171,2028373425,LevoParadoxIsomer,1.3,neutral,0.5
172,1,172,1712063860,HFLevo,1.3,neutral,nan
172,1,172,1712063860,LevoParadoxIsomer,0.0,neutral,0.5
173,1,173,729831432,HFLevo,0.0,neutral,nan
173,1,173,729831432,LevoParadoxIsomer,1.3,neutral,0.5
174,1,174,1945712103,HFLevo,-0.8,overcautious,nan
174,1,174,1945712103,LevoParadoxIsomer,2.5,neutral,0.6000000238418579
175,1,175,1662118687,HFLevo,1.3,neutral,nan
175,1,175,1662118687,LevoParadoxIsomer,0.0,neutral,0.5
176,1,176,1263277082,HFLevo,1.3,neutral,nan
176,1,176,1263277082,LevoParadoxIsomer,1.3,neutral,0.5
177,1,177,600780774,HFLevo,1.3,neutral,nan
177,1,177,600780774,LevoParadoxIsomer,0.0,neutral,0.5
178,1,178,389237547,HFLevo,0.0,neutral,nan
178,1,178,389237547,LevoParadoxIsomer,1.3,neutral,0.5
179,1,179,531352528,HFLevo,1.3,neutral,nan
179,1,179,531352528,LevoParadoxIsomer,1.3,neutral,0.5
180,1,180,308998320,HFLevo,1.2,neutral,nan
180,1,180,308998320,LevoParadoxIsomer,1.2,neutral,0.19999995827674866
181,1,181,133112608,HFLevo,0.0,neutral,nan
181,1,181,133112608,LevoParadoxIsomer,0.0,neutral,0.5
182,1,182,1335500866,HFLevo,0.0,neutral,nan
182,1,182,1335500866,LevoParadoxIsomer,1.3,neutral,0.5
183,1,183,1455247303,HFLevo,2.5,neutral,nan
183,1,183,1455247303,LevoParadoxIsomer,2.5,neutral,0.6500000357627869
184,1,184,818574077,HFLevo,1.2,neutral,nan
184,1,184,818574077,LevoParadoxIsomer,-2.0,overconfident,0.3999999761581421
185,1,185,783962675,HFLevo,1.2,neutral,nan
185,1,185,783962675,LevoParadoxIsomer,0.0,neutral,0.44999998807907104
186,1,186,181722168,HFLevo,-0.8,overcautious,nan
186,1,186,181722168,LevoParadoxIsomer,0.0,neutral,0.550000011920929
187,1,187,922465315,HFLevo,1.3,neutral,nan
187,1,187,922465315,LevoParadoxIsomer,0.0,neutral,0.5
188,1,188,1058682574,HFLevo,0.0,neutral,nan
188,1,188,1058682574,LevoParadoxIsomer,0.0,neutral,0.5
189,1,189,2126397323,HFLevo,1.3,neutral,nan
189,1,189,2126397323,LevoParadoxIsomer,1.3,neutral,0.5
190,1,190,23796221,HFLevo,1.2,neutral,nan
190,1,190,23796221,LevoParadoxIsomer,1.2,neutral,0.44999998807907104
191,1,191,677074079,HFLevo,-0.8,overcautious,nan
191,1,191,677074079,LevoParadoxIsomer,0.0,neutral,0.6000000238418579
192,1,192,1977263236,HFLevo,1.2,neutral,nan
192,1,192,1977263236,LevoParadoxIsomer,0.0,neutral,0.19999995827674866
193,1,193,1768875981,HFLevo,0.0,neutral,nan
193,1,193,1768875981,LevoParadoxIsomer,0.0,neutral,0.5
194,1,194,1212545188,HFLevo,2.5,neutral,nan
194,1,194,1212545188,LevoParadoxIsomer,0.0,neutral,0.6500000357627869
195,1,195,1186674390,HFLevo,1.3,neutral,nan
195,1,195,1186674390,LevoParadoxIsomer,0.0,neutral,0.5
196,1,196,1056632766,HFLevo,1.3,neutral,nan
196,1,196,1056632766,LevoParadoxIsomer,1.3,neutral,0.5
197,1,197,268535661,HFLevo,0.0,neutral,nan
197,1,197,268535661,LevoParadoxIsomer,1.3,neutral,0.5
198,1,198,888167157,HFLevo,1.2,neutral,nan
198,1,198,888167157,LevoParadoxIsomer,1.2,neutral,0.44999998807907104
199,1,199,530391691,HFLevo,0.0,neutral,nan
199,1,199,530391691,LevoParadoxIsomer,1.3,neutral,0.5
200,1,200,50594990,HFLevo,2.5,neutral,nan
200,1,200,50594990,LevoParadoxIsomer,-0.8,overcautious,0.6500000357627869
201,1,201,222395105,HFLevo,1.2,neutral,nan
201,1,201,222395105,LevoParadoxIsomer,1.2,neutral,0.19999995827674866
202,1,202,287284573,HFLevo,1.3,neutral,nan
202,1,202,287284573,LevoParadoxIsomer,1.3,neutral,0.5
203,1,203,514973304,HFLevo,0.0,neutral,nan
203,1,203,514973304,LevoParadoxIsomer,0.0,neutral,0.5
204,1,204,1909475802,HFLevo,2.5,neutral,nan
204,1,204,1909475802,LevoParadoxIsomer,2.5,neutral,0.6000000238418579
205,1,205,1879525266,HFLevo,-2.0,overconfident,nan
205,1,205,1879525266,LevoParadoxIsomer,1.2,neutral,0.44999998807907104
206,1,206,1420380137,HFLevo,-0.8,overcautious,nan
206,1,206,1420380137,LevoParadoxIsomer,-0.8,overcautious,0.6000000238418579
207,1,207,1737331410,HFLevo,0.0,neutral,nan
207,1,207,1737331410,LevoParadoxIsomer,1.3,neutral,0.5
208,1,208,1064923684,HFLevo,1.3,neutral,nan
208,1,208,1064923684,LevoParadoxIsomer,1.3,neutral,0.5
209,1,209,1238273317,HFLevo,0.0,neutral,nan
209,1,209,1238273317,LevoParadoxIsomer,1.3,neutral,0.5
210,1,210,144185798,HFLevo,0.0,neutral,nan
210,1,210,144185798,LevoParadoxIsomer,1.3,neutral,0.5
211,1,211,575162410,HFLevo,1.3,neutral,nan
211,1,211,575162410,LevoParadoxIsomer,0.0,neutral,0.5
212,1,212,707283582,HFLevo,2.5,neutral,nan
212,1,212,707283582,LevoParadoxIsomer,2.5,neutral,0.7000000476837158
213,1,213,1405835406,HFLevo,1.3,neutral,nan
213,1,213,1405835406,LevoParadoxIsomer,1.3,neutral,0.5
214,1,214,789235422,HFLevo,1.3,neutral,nan
214,1,214,789235422,LevoParadoxIsomer,0.0,neutral,0.5
215,1,215,1388271326,HFLevo,1.3,neutral,nan
215,1,215,1388271326,LevoParadoxIsomer,1.3,neutral,0.5
216,1,216,1865718892,HFLevo,0.0,neutral,nan
216,1,216,1865718892,LevoParadoxIsomer,1.3,neutral,0.5
217,1,217,1293915651,HFLevo,1.3,neutral,nan
217,1,217,1293915651,LevoParadoxIsomer,1.3,neutral,0.5
